2022-02-05 09-32-11: analysis.py: line 411: WARNING: The cloud has no valid spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 411: WARNING: The cloud has no valid spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 411: WARNING: The cloud has no valid spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 411: WARNING: The cloud has no valid spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
2022-02-05 09-32-11: analysis.py: line 390: DEBUG: Created appr_vec
2022-02-05 09-32-11: analysis.py: line 394: DEBUG: Created perp_vec
2022-02-05 09-32-11: analysis.py: line 400: DEBUG: Created spans
2022-02-05 09-32-11: analysis.py: line 408: DEBUG: Created valid_spans
2022-02-05 09-32-11: analysis.py: line 416: DEBUG: Created edges
